                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                 1.1328,                0.71434,                0.92113,                0.53299,                0.83929,                0.55307,                0.36954,                 1.2456,                 1.3342,                 0.8793,              0.0009605,              0.0009605,              0.0009605
                    107,                 1.1243,                0.70633,                0.92227,                0.53299,                0.83929,                0.55307,                0.36954,                 1.2456,                 1.3342,                 0.8793,              0.0009506,              0.0009506,              0.0009506
                    108,                 1.2688,                0.76957,                0.94641,                0.65024,                0.82143,                0.71713,                 0.4948,                 1.1856,                 1.2078,                0.87127,              0.0009407,              0.0009407,              0.0009407
                    109,                 1.5378,                0.78932,                0.94614,                0.65024,                0.82143,                0.71713,                 0.4948,                 1.1856,                 1.2078,                0.87127,              0.0009308,              0.0009308,              0.0009308
                    110,                 1.1415,                0.77631,                0.91506,                0.65024,                0.82143,                0.71713,                 0.4948,                 1.1856,                 1.2078,                0.87127,              0.0009209,              0.0009209,              0.0009209
                    111,                 1.6901,                0.82085,                0.96046,                0.65024,                0.82143,                0.71713,                 0.4948,                 1.1856,                 1.2078,                0.87127,               0.000911,               0.000911,               0.000911
                    112,                 1.1372,                0.68421,                0.92314,                0.66952,                0.79596,                0.77537,                 0.5351,                 1.1833,                 1.1017,                0.86835,              0.0009011,              0.0009011,              0.0009011
                    113,                 1.0619,                0.71054,                0.92166,                0.66952,                0.79596,                0.77537,                 0.5351,                 1.1833,                 1.1017,                0.86835,              0.0008912,              0.0008912,              0.0008912
                    114,                 1.2113,                0.70847,                0.90625,                0.66952,                0.79596,                0.77537,                 0.5351,                 1.1833,                 1.1017,                0.86835,              0.0008813,              0.0008813,              0.0008813
                    115,                 1.1446,                0.67555,                0.91639,                0.66952,                0.79596,                0.77537,                 0.5351,                 1.1833,                 1.1017,                0.86835,              0.0008714,              0.0008714,              0.0008714
                    116,                 1.1213,                0.73748,                0.88317,                0.71046,                0.80357,                0.79943,                0.55151,                 1.1833,                0.97523,                0.86501,              0.0008615,              0.0008615,              0.0008615
                    117,                 1.1387,                0.74677,                0.89873,                0.71046,                0.80357,                0.79943,                0.55151,                 1.1833,                0.97523,                0.86501,              0.0008516,              0.0008516,              0.0008516
                    118,                 1.3809,                0.73167,                0.97303,                0.71046,                0.80357,                0.79943,                0.55151,                 1.1833,                0.97523,                0.86501,              0.0008417,              0.0008417,              0.0008417
                    119,                 1.1414,                0.70273,                0.91184,                0.71046,                0.80357,                0.79943,                0.55151,                 1.1833,                0.97523,                0.86501,              0.0008318,              0.0008318,              0.0008318
                    120,                 1.1129,                0.73545,                0.90473,                0.72913,                0.80357,                0.82405,                 0.5814,                 1.1584,                0.82173,                0.87184,              0.0008219,              0.0008219,              0.0008219
                    121,                 1.1656,                0.72154,                0.90759,                0.72913,                0.80357,                0.82405,                 0.5814,                 1.1584,                0.82173,                0.87184,               0.000812,               0.000812,               0.000812
                    122,                 1.0854,                0.72464,                0.91885,                0.72913,                0.80357,                0.82405,                 0.5814,                 1.1584,                0.82173,                0.87184,              0.0008021,              0.0008021,              0.0008021
                    123,                 1.1878,                0.74754,                 0.8933,                0.72913,                0.80357,                0.82405,                 0.5814,                 1.1584,                0.82173,                0.87184,              0.0007922,              0.0007922,              0.0007922
                    124,                 1.1208,                0.71277,                0.90434,                0.75773,                0.82143,                0.84749,                0.58105,                  1.166,                0.77906,                0.87971,              0.0007823,              0.0007823,              0.0007823
                    125,                 1.3521,                0.78947,                0.91038,                0.75773,                0.82143,                0.84749,                0.58105,                  1.166,                0.77906,                0.87971,              0.0007724,              0.0007724,              0.0007724
                    126,                 1.2727,                0.73978,                0.93321,                0.75773,                0.82143,                0.84749,                0.58105,                  1.166,                0.77906,                0.87971,              0.0007625,              0.0007625,              0.0007625
