                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                 1.1053,                0.72214,                0.97227,                0.65366,                0.60345,                0.62176,                0.39622,                 1.4379,                 1.2037,                 1.1858,              0.0006734,              0.0006734,              0.0006734
                    136,                 1.0939,                0.79079,                0.95925,                0.67995,                0.58606,                0.62101,                0.39542,                 1.4426,                 1.2232,                 1.1848,              0.0006635,              0.0006635,              0.0006635
                    137,                 1.1068,                 0.7528,                0.96003,                0.67233,                0.58513,                 0.6252,                 0.3958,                 1.4547,                  1.222,                 1.1915,              0.0006536,              0.0006536,              0.0006536
                    138,                 1.1112,                0.73221,                  0.975,                0.67835,                0.58944,                0.62275,                 0.3985,                 1.4398,                   1.22,                 1.1884,              0.0006437,              0.0006437,              0.0006437
                    139,                 1.1138,                0.71771,                 0.9703,                0.67874,                0.58283,                0.62567,                0.40022,                 1.4549,                 1.2097,                 1.1939,              0.0006338,              0.0006338,              0.0006338
                    140,                 1.1036,                0.71553,                0.96276,                 0.6772,                0.57328,                0.61765,                0.39278,                 1.4517,                 1.2192,                 1.1976,              0.0006239,              0.0006239,              0.0006239
                    141,                 1.0987,                 0.7185,                0.96236,                0.66653,                0.59159,                0.61823,                0.39515,                 1.4446,                  1.223,                 1.1872,               0.000614,               0.000614,               0.000614
                    142,                  1.085,                0.71003,                0.96618,                0.68654,                0.57974,                0.62749,                0.39672,                 1.4569,                 1.1964,                 1.2006,              0.0006041,              0.0006041,              0.0006041
                    143,                 1.1013,                0.73704,                0.95797,                0.68894,                0.57866,                0.62155,                 0.3949,                 1.4473,                 1.2184,                 1.1922,              0.0005942,              0.0005942,              0.0005942
                    144,                 1.0821,                0.70558,                0.95982,                  0.679,                0.58809,                0.62443,                0.39632,                 1.4434,                  1.208,                 1.1879,              0.0005843,              0.0005843,              0.0005843
